window_start,anomaly_score,pred_label
0,1.4948171e-16,0
1,1.9400245e-23,0
2,7.2056195e-15,0
3,1.2525682e-13,0
4,7.127896e-15,0
5,7.152372e-14,0
6,3.623434e-15,0
7,3.6683488e-19,0
8,1.2771121e-13,0
9,1.4891853e-12,0
10,1.9989833e-11,0
11,4.368737e-19,0
12,6.1638556e-23,0
13,5.371141e-18,0
14,2.2290461e-17,0
15,1.6214058e-19,0
16,2.876027e-19,0
17,2.3236717e-20,0
18,1.7295448e-17,0
19,1.959112e-11,0
20,1.0179065e-11,0
21,7.503174e-10,0
22,1.5949239e-14,0
23,5.454589e-22,0
24,7.716976e-23,0
25,1.6219936e-19,0
26,2.5784334e-22,0
27,8.726394e-21,0
28,7.850351e-23,0
29,9.119567e-23,0
30,2.0858135e-19,0
31,3.776459e-19,0
32,1.9442733e-19,0
33,1.377191e-22,0
34,4.205991e-27,0
35,2.583618e-18,0
36,4.6669136e-13,0
37,4.824284e-14,0
38,7.106939e-14,0
39,2.1230786e-18,0
40,1.6858173e-24,0
41,1.7989657e-22,0
42,1.9013926e-21,0
43,2.5978352e-21,0
44,2.7457338e-22,0
45,5.9599636e-16,0
46,1.3392875e-14,0
47,5.2798026e-12,0
48,1.2853561e-11,0
49,1.6922984e-10,0
50,5.6090495e-21,0
51,2.271099e-21,0
52,5.578672e-18,0
53,3.129491e-20,0
54,9.132737e-21,0
55,2.5661596e-21,0
56,3.2673988e-23,0
57,6.0079756e-21,0
58,4.08616e-20,0
59,1.8244354e-19,0
60,5.723894e-20,0
61,1.817849e-20,0
62,4.9029567e-18,0
63,1.9682628e-14,0
64,1.734516e-14,0
65,1.4862139e-13,0
66,7.2286866e-16,0
67,9.2376206e-18,0
68,2.129383e-16,0
69,1.1138059e-18,0
70,4.4060467e-17,0
71,3.2530996e-21,0
72,2.3673055e-21,0
73,4.7891994e-17,0
74,6.2201065e-12,0
75,6.165828e-13,0
76,1.9587578e-14,0
77,6.010265e-22,0
78,4.7079194e-26,0
79,1.8419805e-20,0
80,9.483953e-19,0
81,1.1702547e-18,0
82,6.3501984e-19,0
83,9.1864764e-21,0
84,4.3605717e-22,0
85,1.1789169e-16,0
86,3.1671343e-17,0
87,1.4593828e-15,0
88,3.3035e-19,0
89,4.513595e-18,0
90,1.9000582e-14,0
91,3.0054453e-15,0
92,3.090231e-16,0
93,1.1739322e-14,0
94,2.0392637e-16,0
95,5.541829e-18,0
96,3.008423e-18,0
97,7.232013e-19,0
98,3.7327466e-19,0
99,5.8453405e-21,0
100,3.1886177e-16,0
101,2.7612407e-12,0
102,1.7450935e-12,0
103,1.9820746e-13,0
104,3.0776317e-16,0
105,4.8626127e-18,0
106,3.2657248e-18,0
107,3.5537227e-19,0
108,5.5477937e-18,0
109,9.919019e-20,0
110,2.9378044e-17,0
111,9.461321e-14,0
112,8.215667e-11,0
113,7.24754e-10,0
114,6.499038e-12,0
115,2.0802401e-22,0
116,6.4828937e-16,0
117,3.6832758e-15,0
118,2.78081e-17,0
119,4.057481e-15,0
120,8.1207766e-14,0
121,2.7608333e-13,0
122,7.4561554e-13,0
123,1.430967e-12,0
124,1.2411229e-12,0
125,9.939573e-15,0
126,5.2490874e-23,0
127,8.943053e-21,0
128,2.4655283e-20,0
129,2.0839434e-20,0
130,8.917973e-22,0
131,1.2276718e-24,0
132,1.3188984e-18,0
133,2.0059e-11,0
134,6.711481e-12,0
135,5.814389e-08,0
136,8.6236937e-13,0
137,3.9631054e-18,0
138,1.3553149e-18,0
139,4.945634e-11,0
140,1.5937987e-14,0
141,1.7841719e-12,0
142,6.2634767e-16,0
143,1.8246581e-19,0
144,5.4288153e-19,0
145,5.1086696e-16,0
146,4.2821347e-17,0
147,3.1349757e-20,0
148,6.841767e-23,0
149,1.3084566e-23,0
150,6.8148986e-19,0
151,1.1890875e-17,0
152,2.9281963e-15,0
153,3.8630666e-19,0
154,6.616139e-21,0
155,2.7666729e-14,0
156,2.2944468e-12,0
157,1.6745214e-12,0
158,7.944621e-14,0
159,1.8511363e-14,0
160,3.8797105e-19,0
161,2.9887599e-18,0
162,1.8988214e-19,0
163,4.4302444e-19,0
164,1.0753221e-23,0
165,1.6465777e-23,0
166,7.6923144e-16,0
167,1.568834e-15,0
168,5.3671267e-14,0
169,1.1920125e-13,0
170,1.3062676e-15,0
171,6.0996336e-13,0
172,2.3148666e-06,0
173,4.061285e-10,0
174,2.536838e-10,0
175,1.4388518e-16,0
176,3.8913662e-16,0
177,4.5830737e-14,0
178,2.8075498e-12,0
179,5.209124e-11,0
180,1.0354044e-11,0
181,4.6612015e-21,0
182,3.35357e-16,0
183,1.4524338e-13,0
184,4.4090587e-16,0
185,5.0875255e-14,0
186,7.8045955e-18,0
187,2.5113624e-24,0
188,9.421023e-21,0
189,7.84738e-17,0
190,1.678495e-17,0
191,1.8670838e-16,0
192,3.1393337e-19,0
193,4.8490853e-20,0
194,6.674104e-16,0
195,2.617987e-16,0
196,3.011387e-17,0
197,2.7627449e-21,0
198,1.0987262e-21,0
199,3.622019e-18,0
200,9.3543225e-18,0
201,2.555614e-17,0
202,6.3432826e-16,0
203,1.7583895e-18,0
204,1.2696543e-19,0
205,1.9821267e-14,0
206,8.7851764e-14,0
207,9.1397206e-14,0
208,3.812241e-18,0
209,4.852252e-19,0
210,9.806567e-19,0
211,1.9270761e-19,0
212,4.538628e-19,0
213,1.9795383e-18,0
214,1.2290377e-20,0
215,4.270799e-16,0
216,1.5544127e-14,0
217,5.326705e-16,0
218,5.7559973e-19,0
219,1.4026088e-21,0
220,3.993716e-18,0
221,3.931099e-12,0
222,1.4047632e-11,0
223,1.899648e-11,0
224,3.1091442e-12,0
225,5.61241e-21,0
226,3.2724476e-17,0
227,3.8692393e-15,0
228,5.786431e-16,0
229,6.4879614e-17,0
230,6.351851e-17,0
231,2.0463638e-15,0
232,4.5534535e-12,0
233,4.0539594e-12,0
234,5.690151e-12,0
235,1.721109e-15,0
236,6.812537e-18,0
237,2.763022e-19,0
238,2.1499216e-21,0
239,5.5566627e-20,0
240,1.4288004e-21,0
241,3.8669256e-21,0
242,1.2115468e-16,0
243,1.8538858e-13,0
244,8.5071295e-13,0
245,1.5478398e-13,0
246,1.2189756e-20,0
247,3.0513158e-17,0
248,2.214943e-16,0
249,1.5261075e-18,0
250,8.39941e-17,0
251,3.9969075e-15,0
252,7.6736625e-19,0
253,8.156655e-17,0
254,2.8553814e-16,0
255,7.933217e-18,0
256,1.2309398e-17,0
257,1.3664842e-14,0
258,7.322331e-15,0
259,1.5988674e-15,0
260,4.312764e-14,0
261,1.266291e-14,0
262,6.0619356e-14,0
263,5.8502167e-13,0
264,6.9920137e-12,0
265,8.771053e-12,0
266,3.1052622e-16,0
267,2.0784532e-24,0
268,6.601671e-20,0
269,1.4660088e-19,0
270,1.1383278e-19,0
271,2.0194528e-17,0
272,4.5521566e-17,0
273,2.241615e-17,0
274,9.378677e-13,0
275,4.45499e-14,0
276,2.8389351e-14,0
277,6.555378e-18,0
278,1.6340853e-19,0
279,4.367456e-18,0
280,1.1445093e-14,0
281,9.450099e-15,0
282,1.0814925e-16,0
283,3.2242924e-19,0
284,3.7272586e-17,0
285,3.9171452e-17,0
286,2.42541e-17,0
287,7.664836e-17,0
288,2.0807321e-22,0
289,6.5321927e-24,0
290,7.7339366e-19,0
291,1.527681e-17,0
292,3.6656986e-15,0
293,5.994706e-18,0
294,1.9349994e-22,0
295,2.1037962e-16,0
296,2.937921e-14,0
297,4.5608674e-16,0
298,2.2642568e-13,0
299,2.503116e-18,0
300,9.986052e-23,0
301,3.2628254e-13,0
302,8.694825e-14,0
303,4.3069132e-13,0
304,4.6632565e-13,0
305,7.974542e-18,0
306,4.5292443e-23,0
307,8.1416743e-16,0
308,3.515969e-18,0
309,3.0472662e-18,0
310,8.3539216e-21,0
311,3.8274446e-23,0
312,1.4617327e-17,0
313,1.1047178e-16,0
314,1.3112543e-16,0
315,6.4520994e-17,0
316,6.299296e-17,0
317,9.2303425e-15,0
318,2.3381403e-11,0
319,2.7074948e-10,0
320,9.438876e-11,0
321,1.0324571e-13,0
322,2.8665313e-11,0
323,1.3062071e-06,0
324,1.3470791e-09,0
325,2.4837923e-06,0
326,1.5292234e-09,0
327,3.767529e-16,0
328,2.611813e-12,0
329,6.590903e-08,0
330,2.685567e-08,0
331,9.650259e-12,0
332,1.0694637e-16,0
333,1.0814111e-14,0
334,6.0635053e-15,0
335,1.3428782e-15,0
336,1.3282563e-15,0
337,2.508069e-16,0
338,2.329168e-18,0
339,3.2745616e-15,0
340,6.595571e-15,0
341,1.866112e-12,0
342,3.1658451e-15,0
343,4.6369206e-14,0
344,2.3106718e-14,0
345,1.966828e-15,0
346,2.5657954e-15,0
347,2.7493082e-14,0
348,7.456784e-16,0
349,3.1784273e-13,0
350,3.0276084e-11,0
351,1.0295693e-11,0
352,2.597874e-14,0
353,4.3088293e-16,0
354,1.437298e-14,0
355,5.569941e-15,0
356,7.878488e-16,0
357,1.0868353e-17,0
358,5.4463525e-23,0
359,3.5425415e-20,0
360,2.9833993e-15,0
361,4.8830645e-16,0
362,1.7624794e-14,0
363,3.1910757e-16,0
364,4.965328e-20,0
